COMPANY,BUY ORDER NUMBER,QUANTITY,SELL ORDER NUMBER,PRICE,DATE
OMZIL,ESCR00410160,100,ESCR00410179,1.45,02/14/14
OMZIL,ESCR00410159,200,ESCR00410179,1.45,02/14/14
OMZIL,ESCR00410158,1450,ESCR00410179,1.45,02/14/14
OMZIL,ESCR00410158,550,ESCR00410178,1.45,02/14/14
OMZIL,ESCR00410157,950,ESCR00410178,1.45,02/14/14
OMZIL,ESCR00410157,50,ESCR00410177,1.45,02/14/14
OMZIL,ESCR00410155,50,ESCR00410177,1.45,02/14/14
OMZIL,ESCR00410155,150,ESCR00410176,1.45,02/14/14
OMZIL,ESCR00410154,400,ESCR00410176,1.45,02/14/14
OMZIL,ESCR00410156,50,ESCR00410176,1.45,02/14/14
OMZIL,ESCR00410156,50,ESCR00410175,1.45,02/14/14
